Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN prepareForMobsim	END prepareForMobsim	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	BEGIN compare with counts	END compare with counts	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	prepareForMobsim	mobsim	afterMobsimListeners	scoring	compare with counts	iterationEndsListeners	iteration
47	05:12:31	05:12:31	05:12:31	05:12:31	05:13:38	05:13:38			05:13:38	05:13:38	05:13:39	05:13:39	05:17:18	05:17:18	05:17:18	05:17:18	05:17:18	05:17:18			05:17:21	05:17:21		00:00:00	00:01:07		00:00:00	00:00:00	00:03:39	00:00:00	00:00:00		00:00:02	00:04:50
48	05:17:21	05:17:21	05:17:21	05:17:21	05:18:32	05:18:32			05:18:32	05:18:32	05:18:33	05:18:33	05:22:11	05:22:11	05:22:11	05:22:11	05:22:11	05:22:11			05:22:13	05:22:13		00:00:00	00:01:10		00:00:00	00:00:00	00:03:37	00:00:00	00:00:00		00:00:02	00:04:52
49	05:22:14	05:22:14	05:22:14	05:22:14	05:23:24	05:23:24			05:23:24	05:23:24	05:23:25	05:23:25	05:27:00	05:27:00	05:27:00	05:27:00	05:27:00	05:27:00			05:27:04	05:27:04		00:00:00	00:01:10		00:00:00	00:00:00	00:03:35	00:00:00	00:00:00		00:00:04	00:04:50
50	05:27:05	05:27:05	05:27:05	05:27:05	05:28:17	05:28:17	05:28:17	05:28:36	05:28:36	05:28:36	05:28:36	05:28:36	05:33:00	05:33:00	05:33:00	05:33:00	05:33:00	05:33:00	05:33:11	05:33:11	05:33:40	05:33:40		00:00:00	00:01:12	00:00:18	00:00:18	00:00:00	00:04:24	00:00:00	00:00:00	00:00:00	00:00:39	00:06:35
51	05:33:40	05:33:40	05:33:40	05:33:40	05:34:55	05:34:55			05:34:56	05:34:56	05:34:56	05:34:56	07:18:55	07:18:55	07:18:55	07:18:55	07:18:55	07:18:55			07:18:55	07:18:55		00:00:00	00:01:14		00:00:00	00:00:00	01:43:58	00:00:00	00:00:00		00:00:00	01:45:15
52	07:18:55	07:18:55	07:18:55	07:18:55	07:19:35	07:19:35			07:19:35	07:19:35	07:19:36	07:19:36	07:22:00	07:22:00	07:22:00	07:22:00	07:22:00	07:22:00			07:22:01	07:22:01		00:00:00	00:00:39		00:00:00	00:00:01	00:02:24	00:00:00	00:00:00		00:00:00	00:03:05
53	07:22:01	07:22:01	07:22:01	07:22:01	07:22:41	07:22:41			07:22:41	07:22:41	07:22:42	07:22:42	07:25:14	07:25:14	07:25:14	07:25:14	07:25:14	07:25:14			07:25:14	07:25:14		00:00:00	00:00:39		00:00:00	00:00:01	00:02:31	00:00:00	00:00:00		00:00:00	00:03:13
54	07:25:14	07:25:14	07:25:14	07:25:14	07:25:52	07:25:52			07:25:52	07:25:52	07:25:52	07:25:52	07:28:28	07:28:28	07:28:28	07:28:28	07:28:28	07:28:28			07:28:28	07:28:28		00:00:00	00:00:37		00:00:00	00:00:00	00:02:35	00:00:00	00:00:00		00:00:00	00:03:13
55	07:28:28	07:28:28	07:28:28	07:28:28	07:29:05	07:29:05			07:29:05	07:29:05	07:29:06	07:29:06	07:31:35	07:31:35	07:31:35	07:31:35	07:31:35	07:31:35			07:31:36	07:31:36		00:00:00	00:00:36		00:00:00	00:00:00	00:02:29	00:00:00	00:00:00		00:00:00	00:03:07
56	07:31:36	07:31:36	07:31:36	07:31:36	07:32:13	07:32:13			07:32:13	07:32:13	07:32:13	07:32:13	10:17:44	10:17:44	10:17:44	10:17:44	10:17:44	10:17:44			10:17:46	10:17:46		00:00:00	00:00:36		00:00:00	00:00:00	02:45:30	00:00:00	00:00:00		00:00:01	02:46:09
