Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN prepareForMobsim	END prepareForMobsim	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	BEGIN compare with counts	END compare with counts	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	prepareForMobsim	mobsim	afterMobsimListeners	scoring	compare with counts	iterationEndsListeners	iteration
61	17:17:39	17:17:39	17:17:39	17:17:39	17:18:14	17:18:14			17:18:15	17:18:15	17:18:15	17:18:15	17:21:12	17:21:12	17:21:12	17:21:12	17:21:12	17:21:12			17:21:12	17:21:12		00:00:00	00:00:35		00:00:00	00:00:00	00:02:56	00:00:00	00:00:00		00:00:00	00:03:33
62	17:21:12	17:21:12	17:21:12	17:21:12	17:21:49	17:21:49			17:21:49	17:21:49	17:21:50	17:21:50	17:24:49	17:24:49	17:24:49	17:24:49	17:24:49	17:24:49			17:24:50	17:24:50		00:00:00	00:00:36		00:00:00	00:00:00	00:02:59	00:00:00	00:00:00		00:00:00	00:03:37
63	17:24:50	17:24:50	17:24:50	17:24:50	17:25:30	17:25:30			17:25:30	17:25:30	17:25:30	17:25:30	17:28:24	17:28:24	17:28:24	17:28:24	17:28:24	17:28:24			17:28:25	17:28:25		00:00:00	00:00:39		00:00:00	00:00:00	00:02:53	00:00:00	00:00:00		00:00:00	00:03:34
64	17:28:25	17:28:25	17:28:25	17:28:25	17:29:02	17:29:02			17:29:02	17:29:02	17:29:02	17:29:02	17:31:53	17:31:53	17:31:53	17:31:53	17:31:53	17:31:53			17:31:53	17:31:53		00:00:00	00:00:36		00:00:00	00:00:00	00:02:50	00:00:00	00:00:00		00:00:00	00:03:28
65	17:31:53	17:31:53	17:31:53	17:31:53	17:32:30	17:32:30			17:32:30	17:32:30	17:32:31	17:32:31	17:35:18	17:35:18	17:35:18	17:35:18	17:35:19	17:35:19			17:35:19	17:35:19		00:00:00	00:00:36		00:00:00	00:00:00	00:02:47	00:00:00	00:00:00		00:00:00	00:03:25
66	17:35:19	17:35:19	17:35:19	17:35:19	17:35:57	17:35:57			17:35:58	17:35:58	17:35:58	17:35:58	17:38:50	17:38:50	17:38:50	17:38:50	17:38:50	17:38:50			17:38:51	17:38:51		00:00:00	00:00:38		00:00:00	00:00:00	00:02:51	00:00:00	00:00:00		00:00:01	00:03:32
67	17:38:52	17:38:52	17:38:52	17:38:52	17:39:28	17:39:28			17:39:29	17:39:29	17:39:29	17:39:29	17:42:19	17:42:19	17:42:19	17:42:19	17:42:19	17:42:19			17:42:21	17:42:21		00:00:00	00:00:36		00:00:00	00:00:00	00:02:50	00:00:00	00:00:00		00:00:01	00:03:29
68	17:42:21	17:42:21	17:42:21	17:42:21	17:42:58	17:42:58			17:42:59	17:42:59	17:42:59	17:42:59	17:45:59	17:45:59	17:45:59	17:45:59	17:45:59	17:45:59			17:46:00	17:46:00		00:00:00	00:00:37		00:00:00	00:00:00	00:02:59	00:00:00	00:00:00		00:00:01	00:03:39
69	17:46:01	17:46:01	17:46:01	17:46:01	17:46:39	17:46:39			17:46:39	17:46:39	17:46:40	17:46:40	17:49:33	17:49:33	17:49:33	17:49:33	17:49:33	17:49:33			17:49:34	17:49:34		00:00:00	00:00:38		00:00:00	00:00:00	00:02:52	00:00:00	00:00:00		00:00:01	00:03:33
70	17:49:35	17:49:35	17:49:35	17:49:35	17:50:16	17:50:16			17:50:17	17:50:17	17:50:17	17:50:17	17:53:14	17:53:14	17:53:14	17:53:14	17:53:14	17:53:14	17:53:14	17:53:14	17:53:34	17:53:34		00:00:00	00:00:41		00:00:00	00:00:00	00:02:57	00:00:00	00:00:00	00:00:00	00:00:19	00:03:59
