linkID,volume,capacity
45487-622497-622445,57,6000.0
608344,20,3000.0
608345,34,3000.0
574598,44,6000.0
608347,21,3000.0
608348,14,3000.0
608349,21,3000.0
212418,19,3000.0
612844-271158,4,1200.0
212414,1,2400.0
36554,4,4000.0
36555,1,4000.0
212417,36,3000.0
36556,1,4000.0
344236,1,2400.0
153891,5,1200.0
212430,2,4000.0
212431,6,4000.0
153893,5,1200.0
319270,2,2000.0
153895,6,1200.0
153896,7,1200.0
36540,5,1200.0
153897,7,1200.0
153898,7,1200.0
153899,7,1200.0
63849-63851-434608-1762-1760,3,3000.0
451103-451104,1,3000.0
608322,2,1200.0
608323,2,1200.0
350892-350837,1,1200.0
212421,1,2400.0
212422,1,2400.0
212424,1,2400.0
344222,1,2400.0
153886,9,4000.0
153887,5,4000.0
153888,10,4000.0
300945-300946,7,1200.0
153889,5,4000.0
36539,2,1200.0
608312,2,1200.0
608313,27,6000.0
455999-456000,2,1200.0
3906,2,6000.0
608318,2,1200.0
36533,1,1200.0
36534,1,1200.0
212432,6,4000.0
36535,1,1200.0
608316,1,1200.0
344214,1,2400.0
608317,2,1200.0
574554,17,3000.0
187296,1,1200.0
574555,6,3000.0
574556,17,3000.0
574557,6,3000.0
3912,2,6000.0
319263,4,1200.0
319264,4,1200.0
319265,2,1200.0
319262,2,1200.0
208503-45256-45260,4,8000.0
319269,9,2000.0
574572,7,6000.0
3924,1,1200.0
549599,1,4000.0
3929,11,4000.0
574569,2,1200.0
549593,1,1200.0
3922,1,1200.0
3923,2,1200.0
372376-18437,11,1200.0
187268,1,1200.0
187269,7,2000.0
574581,2,1200.0
574583,2,1200.0
187267,1,1200.0
187271,7,2000.0
574575,3,6000.0
187272,4,2000.0
187273,7,2000.0
3937,1,1200.0
187274,4,2000.0
574577,4,6000.0
3939,1,1200.0
574579,2,1200.0
187270,3,2000.0
549580,11,2000.0
3930,2,4000.0
3931,10,4000.0
549581,8,2000.0
3932,3,4000.0
277652-383047,1,2000.0
187279,8,3000.0
187275,7,2000.0
61514,9,6000.0
187276,4,2000.0
61515,10,6000.0
187277,7,2000.0
61516,10,6000.0
187278,4,2000.0
549574,11,2000.0
574585,2,1200.0
187283,15,6000.0
549575,6,2000.0
187284,6,3000.0
549576,11,2000.0
3948,1,2000.0
574587,2,1200.0
549577,7,2000.0
549578,12,2000.0
574589,2,1200.0
549579,6,2000.0
187280,19,3000.0
187281,188,20000.0
611489-611490,4,1200.0
549570,15,1200.0
549571,15,1200.0
549572,13,2000.0
